airport,location
Scammon Bay Airport,Alaska
Saarbrücken Airport,Saarland
Aktau Airport,Kazakhstan
Mont-Dauphin - Saint-Crépin Airport,Provence-Alpes-Côte d'Azur
Santiago de Compostela Airport,Galicia
Scandinavian Mountains Airport,Sweden
Scatsta Airport,Scotland
Socotra Airport,Yemen
Antonio Maceo International Airport,Cuba
Reading Regional Airport,Pennsylvania
Roberts Field,Bend
Redang Airport,Terengganu
Radom Airport,Poland
Kazi Nazrul Islam Airport,West Bengal
Grand Forks Air Force Base,North Dakota
Rincón de los Sauces Airport,Neuquén
Richard Toll Airport,Senegal
Raleigh–Durham International Airport,Durham
Red Devil Airport,Alaska
Rodez–Marcillac Airport,Midi-Pyrénées
Reao Airport,Tuamotus
Rechlin–Lärz Airfield,Mecklenburg-Vorpommern
Recife/Guararapes–Gilberto Freyre International Airport,Pernambuco
Mifflin County Airport,Lewistown
Reese Airpark,Texas
Reggio di Calabria Airport,Calabria
Régina Airport,French Guiana
Almirante Marcos A. Zar Airport,Iceland
Presidente Nicolau Lobato International Airport,Ivory Coast
Dimbokro Airport,Vietnam
Dien Bien Phu Airport,Burkina Faso
Diapaga Airport,Minas Gerais
Divinópolis Airport,Ethiopia
Aba Tenna Dejazmach Yilma International Airport,Republic of the Congo
Dolisie Airport,Daman and Diu
Diu Airport,Ivory Coast
Divo Airport,Sri Lanka
Mawella Lagoon Seaplane Base,Turkey
Diyarbakır Airport,Benin
Djougou Airport,Indonesia
Sultan Thaha Airport,Tunisia
Djerba–Zarzis International Airport,Algeria
Tiska Djanet Airport,United Arab Emirates
Jebel Ali Seaplane Base,Indonesia
Sentani Airport,Republic of the Congo
Djambala Airport,Alaska
Delta Junction Airport,Ivory Coast
Andrews Field,Maryland
RAF Leuchars,Scotland
Alldays Airport,South Africa
Gustavo Rojas Pinilla International Airport,Colombia
Abemama Atoll Airport,Kiribati
Baise Bama Airport,Guangxi
Adareil Airport,South Sudan
Aek Godang Airport,Indonesia
Abéché Airport,Chad
Aseki Airport,Papua New Guinea
Albert Lea Municipal Airport,Minnesota
Amgu Airport,Primorsky Krai
Aioun el Atrouss Airport,Mauritania
Jorge Newbery Airpark,Krasnodar Krai
Ar Horqin Airport,Norway
Sochi International Airport,Alaska
"Ålesund Airport, Vigra",Iran
Allakaket Airport,Louisiana
Childress Municipal Airport,New South Wales
Castellón–Costa Azahar Airport,Alaska
Camden Airport,New Jersey
Merle K. (Mudhole) Smith Airport,Philippines
Essex County Airport,Kansas
Cagayan de Sulu Airport,Philippines
Cessna Aircraft Field,California
Mactan–Cebu International Airport,South Australia
Del Norte County Airport,Vologda Oblast
Ceduna Airport,Massachusetts
Cherepovets Airport,England
Westover Metropolitan Airport,Malawi
Westover Air Reserve Base,Thailand
Hawarden Airport,Chelyabinsk Oblast
Chelinda Airport,Alaska
Chiang Rai International Airport,Sonora
Chelyabinsk Airport,Angola
Central Airport,Bolivia
Ulaangom Airport,Queensland
Quilpie Airport,Colombia
Heriberto Gíl Martínez Airport,Colombia
Mulatos Airport,Uganda
Gulu Airport,Ulyanovsk Oblast
Ulyanovsk Baratayevka Airport,South Africa
Ulusaba Airstrip,Ulyanovsk Oblast
Ulyanovsk Vostochny Airport,Mongolia
Donoi Airport,Cuba
Punta de Maisí Airport,Papua New Guinea
Umba Airport,Sweden
Umeå Airport,Peru
Quince Mil Airport,Alaska
Summit Airport,South Australia
RAAF Woomera Airfield,Yakutia
Ust-Maya Airport,Alaska
Umiat Airport,Paraná
Orlando de Carvalho Airport,Ukraine
Sumy Airport,Comandatuba Island
NAES Lakehurst,Florida
NOLF Whitehouse,Yakutia
Chulman Neryungri Airport,Laos
Nathong Airport,Saint Kitts and Nevis
Vance W. Amory International Airport,Louisiana
Lakefront Airport,Khanty-Mansi Autonomous Okrug
Nefteyugansk Airport,Nevada
NAS Fallon,Tonga
Niuafo'ou Airport,Libya
Nafoora Airport,New South Wales
Young Airport,Zhejiang
Ningbo Lishe International Airport,British Overseas Territory
Auguste George Airport,Cameroon
Ngaoundéré Airport,Hawaii
MCAS Kaneohe Bay,Fiji
Gau Airport,Sakhalin Oblast
Ensenada Airport,Washington
Esler Airfield,Baja California
Dr. Luis María Argaña International Airport,Louisiana
Shoreham Airport,Paraguay
Espinosa Airport,England
Eskişehir Airport,Minas Gerais
Elista Airport,Turkey
Carlos Concha Torres International Airport,Kalmykia
Easton Airport,Ecuador
Ohkay Owingeh Airport,Maryland
Stroudsburg–Pocono Airport,New Mexico
Ricardo García Posada Airport,Pennsylvania
Essen/Mülheim Airport,Chile
Estherville Municipal Airport,North Rhine-Westphalia
Essaouira-Mogador Airport,Iowa
Easton State Airport,Morocco
West Bend Municipal Airport,Washington
Ponta do Ouro Airport,New Caledonia
Pandie Pandie Airport,Mozambique
Faz Taua Airport,South Australia
Minangkabau International Airport,Bahia
Pindiu Airport,Indonesia
DeKalb–Peachtree Airport,Papua New Guinea
João Paulo II Airport,Georgia
Pedasí Airport,Azores
Parndana Airport,Panama
Pendopo Airport,South Australia
Capitán de Corbeta Carlos A. Curbelo International Airport,Indonesia
Presidente Dutra Airport,Uruguay
Piedras Negras International Airport,Maranhão
Eastern Oregon Regional Airport,Coahuila
Tydeo Larre Borges International Airport,Oregon
Plovdiv Airport,Uruguay
Portland International Airport,Bulgaria
Fontanges Airport,Quebec
Fort Hope Airport,Quebec
Fort MacKay/Firebag Aerodrome,Ontario
Wekweètì Airport,Alberta
Fort Reliance Water Aerodrome,Northwest Territories
Flin Flon Airport,Northwest Territories
Fort Resolution Airport,Manitoba
Fort Simpson Airport,Northwest Territories
Taipa Ferry Terminal,Northwest Territories
St. Lewis (Fox Harbour) Airport,Macau
Texada/Gillies Bay Airport,Newfoundland and Labrador
Grande Cache Airport,British Columbia
Gorge Harbour Water Aerodrome,Alberta
Ganges Water Aerodrome,British Columbia
Fort Good Hope Airport,British Columbia
Miho–Yonago Airport,Northwest Territories
Kingston/Norman Rogers Airport,Honshu
Powell Lake Water Aerodrome,British Columbia
Wipim Airport,Papua New Guinea
North Fork Valley Airport,Colorado
Capitán Fuentes Martínez Airport,Chile
Guardiamarina Zañartu Airport,Chile
Warder Airport,Ethiopia
Robins Air Force Base,Georgia
Whangarei Airport,New Zealand
Wrangell Airport,Alaska
McGuire Air Force Base,New Jersey
Worland Municipal Airport,Wyoming
Windarling Airport,Western Australia
Copernicus Airport Wrocław,Poland
Warton Aerodrome,England
Warrawagine Airport,Western Australia
Westray Airport,Scotland
Weerawila Airport,Sri Lanka
Wasua Airport,Papua New Guinea
RNZAF Base Ohakea,Madagascar
Ambohibary Airport,North Macedonia
"Ohrid ""St. Paul the Apostle"" Airport",Heilongjiang
Mohe Gulian Airport,Sakhalin Oblast
Okha Airport,Namibia
Oshakati Airport,Khabarovsk Krai
Okhotsk Airport,Schleswig-Holstein
Wyk auf Föhr Airport,Oman
Sohar Airport,Pakistan
PAF Base Kohat,Pará
Ourilândia do Norte Airport,New York
Lt. Warren Eaton Airport,Izu Islands
Oshima Airport,Okushiri Island
Okushiri Airport,Kyushu
Oita Airport,Kansas
Johnson County Executive Airport,Tojo Una-Una Regency
Tanjung Api Airport,Ryukyu Islands
Mason City Municipal Airport,Dagestan
Uytash Airport,Queensland
Sunshine Coast Airport,Alagoas
Zumbi dos Palmares International Airport,Belize
Melinda Airport,Indonesia
Bereina Airport,Papua New Guinea
Benbecula Airport,Papua New Guinea
Beech Factory Airport,Scotland
Laurence G. Hanscom Field,Kansas
Beagle Bay Airport,Massachusetts
Bluefields Airport,Western Australia
Belgrade Nikola Tesla Airport,Nicaragua
Southwest Michigan Regional Airport,Serbia
Beica Airport,Michigan
Kalimarau Airport,Ethiopia
Bareilly Airport,Indonesia
Val de Cans International Airport,Uttar Pradesh
Beni Mellal Airport,Pará
Benina International Airport,Morocco
Lake Macquarie Airport,Libya
Louis Trichardt Airport,Honduras
Golosón International Airport,Guatemala
Río Dulce Airport,Galicia
A Coruña Airport,Louisiana
Lake Charles Regional Airport,New Hampshire
Laconia Municipal Airport,Poland
Łódź Władysław Reymont Airport,Ohio
Rickenbacker International Airport,Cuba
La Coloma Airport,Córdoba
La Cumbre Airport,South Australia
Balcanoona Airport,Republic of the Congo
Lague Airport,Neuquén
Loncopué Airport,Florida
Lake City Gateway Airport,Colombia
La Chorrera Airport,Hebei
Kadanwari Airport,Pakistan
Kuching International Airport,Alaska
Komaio Airport,Sarawak
Kirensk Airport,Papua New Guinea
Chignik Lagoon Airport,Irkutsk Oblast
Kahramanmaraş Airport,Alaska
Chernofski Harbor Seaplane Base,Turkey
Cengiz Topel Naval Air Station,Alaska
Kamianets-Podilskyi Airport,Turkey
Chignik Lake Airport,Ukraine
Colorado Creek Airport,Alaska
Kings Creek Station Airport,Alaska
Jiayuguan Airport,Gansu
Jinggangshan Airport,Jiangxi
Senai International Airport,Johor
Xishuangbanna Gasa Airport,Yunnan
Fort MacKay/Albian Aerodrome,Alberta
Kapalua Airport,Hawaii
Sisimiut Airport,Greenland
Chautauqua County-Jamestown Airport,New York
Juína Airport,Mato Grosso
Djibouti–Ambouli International Airport,Djibouti
Vodochody Airport,Madagascar
Volgograd International Airport,Liberia
Vohemar Airport,Wisconsin
Voinjama Airport,Greece
Volk Field Air National Guard Base,São Paulo
Nea Anchialos National Airport,Voronezh Oblast
Votuporanga Airport,Angola
Voronezh International Airport,Kenya
Ondjiva Pereira Airport,Iceland
Vipingo Airport,Fort Walton Beach
Vopnafjörður Airport,Mozambique
Destin–Fort Walton Beach Airport,Indiana
Eglin Air Force Base,Florida
Chimoio Airport,Puerto Rico
Ivano-Frankivsk International Airport,Arizona
Laughlin/Bullhead International Airport,Raa Atoll
Ifuru Airport,Bahamas
Inagua Airport,Río Negro
Ingeniero Jacobacci Airport,Turkey
Iğdır Airport,Gabon
Tchongorove Airport,Alaska
Igiugig Airport,Queensland
Ingham Airport,Turkey
Çiğli Air Base,Arizona
Kingman Airport,Philippines
Maria Cristina Airport,Colombia
Havadarya Airport,South Africa
Air Force Base Hoedspruit,Thailand
Hat Yai International Airport,Afghanistan
Herat International Airport,Myanmar
Hinthada Airport,Alaska
Herendeen Bay Airport,Arkansas
Thompson–Robbins Airport,Myanmar
Heho Airport,Büsum
Heide–Büsum Airport,Heilongjiang
Heihe Airport,Finland
Helsinki Airport,Finland
Helsinki-Malmi Airport,Papua New Guinea
Haelogo Airport,Greece
Heraklion International Airport,Oregon
Grand Canyon Bar 10 Airport,Arizona
Grand Canyon West Airport,Tennessee
Greeneville–Greene County Municipal Airport,Central African Republic
Gounda Airport,South Carolina
Donaldson Center Airport,Western Australia
Gordon Downs Airport,Ethiopia
Gode Airport,Amur Oblast
Magdagachi Airport,Alaska
Golden Horn Lodge Seaplane Base,Central African Republic
Gordil Airport,Democratic Republic of the Congo
Gandajika Airport,Jalisco
Guadalajara International Airport,Massachusetts
Gardner Municipal Airport,Poland
Gdańsk Lech Wałęsa Airport,Venezuela
Guasdualito Airport,Piauí
Guadalupe Airport,Ethiopia
First Flight Airport,North Carolina
RAF Fairford,England
Fairfield Municipal Airport,Iowa
Fergus Falls Municipal Airport,Minnesota
Wright-Patterson Air Force Base,Ohio
Capital City Airport,Kentucky
Futaleufú Airfield,Chile
Fderik Airport,Mauritania
Fagali'i Airport,Upolu Island
Fangatau Airport,Tuamotus
Sierra Vista Municipal Airport,Arizona
Fakahina Airport,Tuamotus
Elizabeth Field,New York
Fair Isle Airport,Scotland
Fria Airport,Guinea
N'djili Airport,Democratic Republic of the Congo
Finke Airport,Northern Territory
Fillmore Municipal Airport,Utah
Tanda Tula Airport,Papua New Guinea
Samangoky Airport,South Africa
Tradewind Airport,Madagascar
Trat Airport,Texas
Toledo Executive Airport,Thailand
Tela Airport,Ohio
Teterboro Airport,Honduras
Telêmaco Borba Airport,New Jersey
Thisted Airport,Paraná
Cheikh Larbi Tébessi Airport,Denmark
Telfer Airport,Algeria
Tenkodogo Airport,Western Australia
Tetlin Airport,Burkina Faso
Tezu Airport,Alaska
Tatitlek Airport,Arunachal Pradesh
Telupid Airport,Alaska
Temora Airport,Sabah
Tongren Fenghuang Airport,New South Wales
Suceava International Airport,Romania
Syktyvkar Airport,Komi Republic
Salina Cruz Airport,Oaxaca
San Cristóbal Airport,Galápagos Islands
Santa Cruz/Graciosa Bay/Luova Airport,Solomon Islands
Air Force Base Langebaanweg,South Africa
Sand Creek Airport,Guyana
Lubango Mukanka Airport,Angola
Vicecomodoro Ángel de la Paz Aragonés Airport,Santiago del Estero
Louisville International Airport,Kentucky
Sanandaj Airport,Iran
Santa Rosa de Copán Airport,Honduras
Saidor Airport,Papua New Guinea
Sendai Airport,Honshu
Sandakan Airport,Sabah
Orenburg Tsentralny Airport,Chubut
Rome State Airport,Orenburg Oblast
Siem Reap International Airport,Oregon
Reko Diq Airport,Cambodia
Retalhuleu Airport,Pakistan
Resistencia International Airport,Guatemala
Røst Airport,Chaco
Reus Airport,Norway
Churhata Airport,Catalonia
General Lucio Blanco International Airport,Madhya Pradesh
Reyes Airport,Tamaulipas
Resende Airport,Bolivia
Rafaï Airport,Rio de Janeiro
Chicago Rockford International Airport,Central African Republic
Rooke Field,Illinois
Rollang Field,Texas
Raufarhöfn Airport,Mississippi
Daloa Airport,Iceland
Djúpivogur Airport,Nigeria
Katsina Airport,Queensland
Dunk Island Airport,New York
Chautauqua County/Dunkirk Airport,Senegal
Léopold Sédar Senghor International Airport,Krasnoyarsk Krai
Dikson Airport,Northern Territory
Docker River Airport,Cameroon
Douala International Airport,Papua New Guinea
Dalbertis Airport,Liaoning
Dalian Zhoushuizi International Airport,Franche-Comté
Dole–Jura Airport,Texas
Laughlin Air Force Base,Alaska
Dillingham Airport,Minnesota
Duluth International Airport,Vietnam
Lien Khuong Airport,South Australia
Abu Musa Airport,Iceland
Alexandria International Airport,Mendoza
Akureyri Airport,South Africa
San Rafael Airport,Colorado
Port Alfred Airport,Colombia
United States Air Force Academy,Sri Lanka
Amalfi Airport,Mato Grosso
Ciudad Obregón International Airport,Provence-Alpes-Côte d'Azur
Waco Kungo Airport,Lower Normandy
Concepción Airport,New South Wales
Cannes – Mandelieu Airport,Pays de la Loire
Cherbourg – Maupertus Airport,South Carolina
Cessnock Airport,Indiana
Cholet Le Pontreau Airport,Florida
Oconee County Regional Airport,Alaska
Mettel Field,Kentucky
Bob Sikes Airport,Colorado
Chena Hot Springs Airport,Rio de Janeiro
Murray-Calloway County Airport,Santa Catarina
Cortez Municipal Airport,Texas
Cabo Frio International Airport,Auvergne
Caçador Airport,Angola
Mena Intermountain Municipal Airport,Colombia
Una-Comandatuba Airport,Afghanistan
Unguía Airport,Lesotho
Kunduz Airport,Papua New Guinea
Qacha's Nek Airport,Saint Vincent and the Grenadines
Kiunga Airport,Alaska
Union Island Airport,Thailand
Unalakleet Airport,Mongolia
Ranong Airport,Scotland
Öndörkhaan Airport,Wisconsin
Unst Airport,Tuamotus
Dodge County Airport,Indonesia
Mururoa Airport,Tennessee
Pogogul Airport,Mississippi
Franklin County Airport,Cuba
University-Oxford Airport,Indonesia
Playa Baracoa Airport,Costa Rica
Nogliki Airport,South Africa
Ngala Airfield,Panama
Narganá Airport,Honshu
Chūbu Centrair International Airport,Texas
NAS Corpus Christi,Tibet Autonomous Region
Ngari Gunsa Airport,Papua New Guinea
Ningerum Airport,Kyushu
Nagasaki Airport,Virginia
NS Norfolk,Texas
NOLF Cabaniss Field,Nepal
Manang Airport,Vietnam
Nha Trang Air Base,United Arab Emirates
Al Minhad Air Base,Sudan
New Halfa Airport,Maryland
NAS Patuxent River,Pakistan
Etadunna Airport,Wisconsin
Genda Wuha Airport,South Australia
J. Hozman Airport,Ethiopia
Ramon Airport,Israel
Eastland Municipal Airport,Israel
Santa Rosa International Airport,Texas
Enterprise Municipal Airport,Ecuador
Metz–Nancy–Lorraine Airport,Alabama
Eua Airport,Nancy
Eucla Airport,Tonga
Eureka Airport,Western Australia
Weedon Field,Nevada
Eugene Airport,Alabama
Neumünster Airport,Oregon
Hassan I Airport,Schleswig-Holstein
Paratebueno Airport,Morocco
Pedernales Airport,Oregon
Penneshaw Airport,Venezuela
Pebane Airport,South Australia
Pelican Seaplane Base,Mozambique
Pardubice Airport,Alaska
Perm International Airport,Czech Republic
Peenemünde Airfield,Perm Krai
Perugia San Francesco d'Assisi – Umbria International Airport,Mecklenburg-Vorpommern
Comodoro Pedro Zanni Airport,Umbria
Matecaña International Airport,Buenos Aires
Beijing Capital International Airport,Colombia
Pelaneng Airport,Lesotho
Padre Aldamiz International Airport,Peru
Penang International Airport,Northern Territory
Peppimenarti Airport,Texas
Pecos Municipal Airport,Western Australia
Perth Airport,Karelia
La Grande Rivière Airport,Ontario
Gimli Industrial Park Airport,Quebec
Greenway Sound Water Aerodrome,Manitoba
Gods Lake Narrows Airport,British Columbia
Michel-Pouliot Gaspé Airport,Manitoba
Geraldton (Greenstone Regional) Airport,Quebec
Îles-de-la-Madeleine Airport,Ontario
Igloolik Airport,Quebec
Havre Saint-Pierre Airport,Nunavut
Kuujjuarapik Airport,Quebec
Gillam Airport,Quebec
Grise Fiord Airport,Manitoba
Port Hope Simpson Airport,Nunavut
Hudson Bay Airport,Newfoundland and Labrador
Steamboat Bay Seaplane Base,Alaska
Condron Army Airfield,New Mexico
Cape Sarichef Airport,Alaska
Washington County Airport,Pennsylvania
Brookhaven Airport,New York
Chongqing Wushan Airport,Chongqing
Wiseman Airport,Alaska
South Naknek Airport,Alaska
Washabo Airport,Suriname
Waspam Airport,Nicaragua
Wasior Airport,Indonesia
Westerly State Airport,Rhode Island
Wasu Airport,Papua New Guinea
Westsound Seaplane Base,Washington
Naha Airport,Queensland
Orchid Beach Airport,Oklahoma
Will Rogers World Airport,Hokkaido
Okadama Airport,Amami Islands
Okinoerabu Airport,Namibia
Okaukuejo Airport,Republic of the Congo
Okoyo Airport,England
RAF Cottesmore,Oki Islands
Oki Airport,Honshu
Okayama Airport,Indiana
Kokomo Municipal Airport,Indonesia
Gunung Bintang Airport,Oklahoma
Okmulgee Regional Airport,Gabon
Sam Ratulangi International Airport,Texas
Midland Airpark,Colombia
José María Córdova International Airport,Wisconsin
Taylor County Airport,Heilongjiang
Mudanjiang Hailang Airport,Murphysboro
Southern Illinois Airport,Nigeria
Makurdi Airport,Oregon
Madras Municipal Airport,Democratic Republic of the Congo
Mbandaka Airport,Myanmar
Mandalay International Airport,Papua New Guinea
Munduku Airport,Indiana
Madison Municipal Airport,Alaska
Middleton Island Airport,Indonesia
Mindiptana Airport,Buenos Aires
Bellary Airport,New South Wales
RAF Honington,Karnataka
Berlin Brandenburg Airport,England
Brest Bretagne Airport,Brittany
Bethel Airport,Alaska
Bedourie Airport,Queensland
Beersheba Airport,Israel
Beira Airport,Mozambique
RAF Benson,England
Beirut–Rafic Hariri International Airport,Lebanon
Beirut Air Base,Kiribati
Beru Island Airport,Paraguay
Bahía Negra Airport,Queensland
Bloomfield Airport,Pennsylvania
Bradford Regional Airport,North Rhine-Westphalia
Shijiazhuang Luancheng Airport,Tuscany
Lucca-Tassignano Airport,Fujian
Longyan Guanzhishan Airport,England
London City Airport,West Bengal
Malda Airport,Paraná
Londrina–Governador José Richa Airport,Queensland
Lindeman Island Airport,Lourdes
Tarbes–Lourdes–Pyrénées Airport,Arkhangelsk Oblast
Leshukonskoye Airport,New South Wales
Lord Howe Island Airport,Tanzania
Lindi Airport,New Jersey
Linden Airport,Sweden
Lidköping-Hovby Airport,Michigan
Mason County Airport,Nepal
Koggala Airport,Northern Territory
Masindi Airport,Sri Lanka
Kōchi Ryōma Airport,Uganda
Kolda North Airport,Shikoku
Kambalda Airport,Senegal
Kandi Airport,Western Australia
Khuzdar Airport,Benin
Koroba Airport,Pakistan
Kandahar International Airport,Papua New Guinea
Haluoleo Airport,Afghanistan
Ndjolé Ville Airport,Indonesia
Kodiak Municipal Airport,Gabon
Kärdla Airport,Alaska
Kaadedhdhoo Airport,Estonia
Ndendé Airport,Gaafu Dhaalu Atoll
Kadhdhoo Airport,Gabon
Jinchang Jinchuan Airport,Gansu
Wilwal International Airport,Ethiopia
Ikaria Island National Airport,Greece
Jilin Ertaizi Airport,Jilin
Aba Segud Airport,Ethiopia
Jinja Airport,Uganda
Jos Orno Imsula Airport,Southwest Maluku
Jipijapa Airport,Ecuador
Qianjiang Wulingshan Airport,Chongqing
Jiri Airport,Nepal
Porter County Regional Airport,Cuba
Cecil Airport,Florida
Antonio Rivera Rodríguez Airport,Philippines
Juan Gualberto Gómez Airport,South Africa
Vero Beach Regional Airport,Nenets Autonomous Okrug
Virac Airport,Finland
Vredendal Airport,Portugal
Varandey Airport,Veneto
Varkaus Airport,Cuba
Vila Real Airport,Missouri
Jaime Ortíz Betancur Airport,Misiones
Cataratas del Iguazú International Airport,Bavaria
Ingolstadt Manching Airport,Ingushetia
Magas Airport,Paraná
Foz do Iguaçu International Airport,Mozambique
Inhaca Airport,Yemen
Qishn Airport,Madagascar
Ihosy Airport,Iran
Iranshahr Airport,Papua New Guinea
Ihu Airport,Ireland
Inishmaan Aerodrome,Iran
Ilam Airport,Papua New Guinea
Nissan Island Airport,Udmurtia
Izhevsk Airport,Rio Grande do Sul
João Batista Bos Filho Airport,Illinois
Hermiston Municipal Airport,Inner Mongolia
Hohhot Baita International Airport,Mississippi
Natchez–Adams County Airport,Israel
Haifa Airport,Connecticut
Hartford–Brainard Airport,Anhui
Hefei Xinqiao International Airport,North Carolina
Hefei Luogang International Airport,Iceland
Mackall Army Airfield,Sweden
Hornafjörður Airport,Norway
Hagfors Airport,Somalia
Hammerfest Airport,Queensland
Hargeisa International Airport,Venezuela
Hughenden Airport,Zhejiang
Higuerote Airport,Sudan
Hangzhou Xiaoshan International Airport,Schleswig-Holstein
Gondar Airport,British Overseas Territory
JAGS McCartney International Airport,Montana
Dawson Community Airport,Michigan
Gladwin Zettel Memorial Airport,Magadan Oblast
Sokol Airport,Krasnodar Krai
Gelendzhik Airport,New Caledonia
Nouméa Magenta Airport,Indonesia
Gebe Airport,Northern Cyprus
Geçitkale Air Base,Delaware
Delaware Coastal Airport,Tasmania
George Town Aerodrome,Vella Lavella
Geva Airport,Washington
Spokane International Airport,Rio Grande do Sul
Sepé Tiaraju Airport,Equatorial Guinea
President Obiang Nguema International Airport,Guyana
Cheddi Jagan International Airport,Cuba
Finschhafen Airport,Papua New Guinea
Fitzroy Crossing Airport,Western Australia
Fujairah International Airport,United Arab Emirates
Karlsruhe/Baden-Baden Airport,Baden-Baden
Bangoka International Airport,Democratic Republic of the Congo
Fukui Airport,Honshu
Venango Regional Airport,Pennsylvania
Franklin Municipal–John Beverly Rose Airport,Virginia
Fakfak Torea Airport,Indonesia
Fukushima Airport,Honshu
Gustavo Artunduaga Paredes Airport,Colombia
Cangapara Airport,Piauí
Fond du Lac County Airport,Wisconsin
Flensburg-Schäferhaus Airport,Schleswig-Holstein
Flagstaff Pulliam Airport,Arizona
Flotta Island Airport,Scotland
Terapo Airport,Guizhou
Teptep Airport,Papua New Guinea
Tekirdağ Çorlu Airport,Papua New Guinea
Lajes Airport,Turkey
Teseney Airport,Azores
Chingozi Airport,Eritrea
Te Anau Airport,Mozambique
Teruel Airport,New Zealand
Telluride Regional Airport,Aragon
Thingeyri Airport,Colorado
Tezpur Airport,Iceland
Tifalmin Airport,Assam
Tefé Airport,Papua New Guinea
Tufi Airport,Amazonas
Teófilo Otoni Airport,Papua New Guinea
Telefomin Airport,Minas Gerais
Sundsvall-Timrå Airport,Härnösand
Brown Field Municipal Airport,California
"Sandane Airport, Anda",Norway
Sand Point Airport,Alaska
Las Américas International Airport,Dominican Republic
Santander Airport,Cantabria
Sado Airport,Niigata
Saidu Sharif Airport,Pakistan
Santos Dumont Airport,Rio de Janeiro
Sde Dov Airport,Israel
Sedona Airport,Arizona
Sidney–Richland Municipal Airport,Montana
Seattle–Tacoma International Airport,Scotland
Sabha Airport,Washington
Raiatea Airport,Iceland
Río Frío Airport,Society Islands
Rosita Airport,Costa Rica
Hermes Quijada International Airport,Nicaragua
Porgera Airport,Tierra del Fuego
Balurghat Airport,Papua New Guinea
Rangiroa Airport,West Bengal
Gorno-Altaysk Airport,Tuamotus
Piloto Civil Norberto Fernández International Airport,Altai Republic
Yangon International Airport,Santa Cruz
Chongjin Airport,Myanmar
Ranger Municipal Airport,North Korea
Burgos Airport,Texas
Japura Airport,Castile and León
Reykhólar Airport,Indonesia
Dulkaninna Airport,South Carolina
Dillon County Airport,Turkey
Dalaman Airport,Montana
Dillon Airport,Oregon
Columbia Gorge Regional Airport,Yunnan
Dali Airport,Northern Territory
Delissaville Airport,Erromango
Dillon's Bay Airport,Mongolia
Dalanzadgad Airport,Arizona
Davis–Monthan Air Force Base,Kazakhstan
Taraz Airport,Queensland
Doomadgee Airport,Thailand
Domodedovo International Airport,Saudi Arabia
Kondavattavan Tank Seaplane Base,New Hampshire
Alta Floresta Airport,Wyoming
Jaffrey Airport–Silver Ranch,Papua New Guinea
Afton Municipal Airport,Uzbekistan
Afore Airport,Malaita
Zarafshan Airport,Texas
Afutara Airport,Turkey
Fort Worth Alliance Airport,Iran
Afyon Airport,Morocco
Sabzevar Airport,Bavaria
Coulter Field,Cuba
Clermont-Ferrand Auvergne Airport,South Australia
Cafunfo Airport,Northern Territory
Jaime González Airport,Algeria
Clifton Hills Airport,Alberta
Camfield Airport,Ireland
Chlef International Airport,Mato Grosso
Conklin (Leismer) Airport,Queensland
Donegal Airport,British Columbia
Confresa Airport,Lower Normandy
Carpentaria Downs Airport,New South Wales
Sultan Hasanuddin International Airport,Michoacán
Upala Airport,Hawaii
Ignacio López Rayón International Airport,Papua New Guinea
Upolu Airport,England
Upiara Airport,Kazakhstan
RAF Upavon,São Paulo
Oral Ak Zhol Airport,Xinjiang
Castilho Airport,Bavaria
Ürümqi Diwopu International Airport,Estonia
Burg Feuerstein Airport,Rio Grande do Sul
Kuressaare Airport,Colombia
Rubem Berta International Airport,Khanty-Mansi Autonomous Okrug
Nushki Airport,England
RAF Northolt,Marquesas Islands
Nuku Hiva Airport,Alabama
NOLF Barin,Maine
Brunswick Executive Airport,Liberia
Nimba Airport,Alaska
Nikolai Airport,Cyprus
Nicosia International Airport,Telfer
Nifty Airport,Kiribati
Nikunau Airport,Senegal
Niokolo-Koba Airport,Niger
Diori Hamani International Airport,Alaska
Ninilchik Airport,Democratic Republic of the Congo
Evelio Javier Airport,Colombia
F. D. Roosevelt Airport,Philippines
Ben Bruce Memorial Airpark,Sint Eustatius
Eva Downs Airport,Texas
"Harstad/Narvik Airport, Evenes",Northern Territory
Sveg Airport,Narvik
Evans Head Memorial Aerodrome,Sweden
Eveleth-Virginia Municipal Airport,New South Wales
Zvartnots International Airport,Minnesota
Evansville Regional Airport,Armenia
Evanston-Uinta County Burns Field,Indiana
Petrozavodsk Airport,Rio Grande do Sul
João Simões Lopes Neto International Airport,Honduras
Puerto Lempira Airport,Hungary
Pécs-Pogány International Airport,Pakistan
Bacha Khan International Airport,Komi Republic
Pechora Airport,South Australia
Penong Airport,Penza Oblast
Penza Airport,Rio Grande do Sul
Lauro Kurtz Airport,Oregon
Pacific City State Airport,Iceland
Patreksfjörður Airport,Alberta
Hakai Passage Water Aerodrome,Saskatchewan
Dryden Regional Airport,British Columbia
Hope Aerodrome,Ontario
Hearst (René Fontaine) Municipal Airport,British Columbia
Charlottetown Airport,Ontario
Campbell River Water Aerodrome,Newfoundland and Labrador
Ulukhaktok/Holman Airport,British Columbia
Gjoa Haven Airport,Northwest Territories
John C. Munro Hamilton International Airport,Nunavut
Hornepayne Municipal Airport,Ontario
Hopedale Airport,Ontario
Whitsunday Airport,Shute Harbour
Westport Airport,New Zealand
Tambohorano Airport,Madagascar
