,airport,location,lat,lon
97,Al Wajh Domestic Airport,Colombia,26.2063327,36.4751166
98,Xinyang Minggang Airport,Henan,34.0000001,113.9999999
99,Alice Arm/Silver City Water Aerodrome,British Columbia,55.001251,-125.002441
100,Warsaw Chopin Airport,Poland,52.163068800000005,20.97080434384879
101,Zuwarah Airport,Libya,32.952028549999994,12.016066394548742
102,Greene County Airport,Pennsylvania,39.90055975,-80.13112028548693
103,Warwick Airport,Queensland,-28.14902855,151.94322804581208
104,Wahai Airport,Indonesia,-2.8114998,129.4855084818511
105,Stebbins Airport,Alaska,63.5155071,-162.285764
106,Wapolu Airport,Papua New Guinea,-5.6816069,144.2489081
107,Befandriana Airport,Madagascar,-15.2074248,48.4824574
108,Ankaizina Airport,Madagascar,-18.9249604,46.4416422
109,Schleswig Air Base,Schleswig-Holstein,54.1853998,9.8220089
110,West Branch Community Airport,Michigan,44.2450533,-84.17841131629677
111,Wapenamanda Airport,Papua New Guinea,-5.6326955,143.8916849
112,Antsoa Airport,Madagascar,-21.6036514,45.1356387
113,Beaver Airport,Alaska,66.3613889,-147.4011111
114,Roben–Hood Airport,Michigan,43.72222695,-85.49839607843418
115,Yavarate Airport,Colombia,0.6102154,-69.2065139
116,Varrelbusch Airport,Lower Saxony,52.90988165,8.043528240840132
117,Moody Air Force Base,Georgia,30.9629283,-83.21944
118,Valence-Chabeuil Airport,Rhône-Alpes,44.92211625,4.9700703742515815
119,Major Brigadeiro Trompowsky Airport,Minas Gerais,-21.5911003,-45.47398582606152
120,Cap. Av. Vidal Villagomez Toledo Airport,Bolivia,-17.0568696,-64.9912286
121,Vanimo Airport,Papua New Guinea,-2.6907448,141.3009053
122,Chevak Airport,Alaska,61.54164765,-165.59992091200826
123,Valença Airport,Bahia,-13.29491455,-38.99165737556838
124,Villa International Airport,Maldives,-33.9349983,151.1658899
125,Van Ferit Melen Airport,Turkey,38.9597594,34.9249653
126,Suavanao Airport,Solomon Islands,-7.5853303,158.7310896
127,Rodelillo Airfield,Chile,-31.7613365,-71.3187697
128,Varna Airport,Bulgaria,43.23393595,27.823302199296037
129,Davison Army Airfield,Virginia,37.1232245,-78.4927721
130,Ejin Banner Taolai Airport,Saudi Arabia,42.0168155,100.99733372237603
131,Enejit Airport,Inner Mongolia,43.2443242,114.3251664
132,Murray Field,Mili Atoll,40.8031713,-124.112993
133,Ekibastuz Airport,California,51.5950663,75.2213536
134,Elkedra Airport,Kazakhstan,-21.1725006,135.4440002
135,Ekereku Airport,Northern Territory,-19.8516101,133.2303375
136,Elkhart Municipal Airport,Guyana,41.71710445,-85.99482430468129
137,Elkins-Randolph County Airport,Indiana,40.3270127,-86.1746933
138,Elko Regional Airport,West Virginia,40.82550195,-115.78801112941872
139,Shakhtyorsk Airport,Nevada,49.19118265,142.0773370237996
140,Eskilstuna Airport,Sakhalin Oblast,59.35013835,16.704920349216216
141,Elizabethtown Regional Airport,Sweden,44.63767745,-75.75106742907519
142,Eagle Lake Airport,Kentucky,29.5994056,-96.3224655
143,Las Flores Airport,Texas,10.1025989,-73.2330229
144,Anahim Lake Airport,British Columbia,52.451219800000004,-125.30346583772354
145,Álamos Airport,Sonora,35.8808905,-106.270834
146,Serafin Enoss Bertaso Airport,Santa Catarina,-27.134001849999997,-52.65822728642021
147,Aribinda Airport,Burkina Faso,14.217,-0.883
148,Saül Airport,French Guiana,3.61361,-53.2042007
149,Blubber Bay Seaplane Base,British Columbia,49.7944311,-124.6183818
150,Bearskin Lake Airport,Ontario,53.96607775,-91.02530221093616
151,Bogande Airport,Burkina Faso,12.9810906,-0.162316
152,Birjand International Airport,Iran,32.8929304,59.28991415153607
153,Bedele Airport,Ethiopia,10.2116702,38.6521203
154,Biniguni Airport,Papua New Guinea,-5.6816069,144.2489081
155,Boulsa Airport,Burkina Faso,12.0753083,-1.6880314
156,Brockville Regional Tackaberry Airport,Ontario,44.63767745,-75.75106742907519
157,Christmas Island Airport,Saskatchewan,-10.450078699999999,105.69071340585096
158,Cluff Lake Airport,Ontario,58.3875532,-109.5153232
159,Chatham-Kent Airport,Philippines,42.3114714,-82.0759452
160,Coron Airport,Victoria,12.12100695,120.09586682548013
161,Colac Airport,Champagne-Ardenne,-38.2873547,143.6798554
162,Châlons Vatry Airport,Burkina Faso,48.77629805,4.187693712492935
163,York Landing Airport,Manitoba,56.0898605,-96.09481
164,Zadar Airport,Croatia,44.100174949999996,15.357488127906656
165,Franjo Tuđman Airport,Croatia,45.74027185,16.07231616098094
166,Zahedan Airport,Iran,29.47582895,60.90053151912571
167,Zaranj Airport,Afghanistan,30.9665663,61.8652021
168,Pichoy Airport,Chile,-39.6509117,-73.081477
169,Zamboanga International Airport,Philippines,6.9220138,122.05955153031348
170,Cahors - Lalbenque Airport,Midi-Pyrénées,44.35212705,1.47517818358068
171,Zaria Airport,Nigeria,11.13151035,7.6867303895262795
172,Zhaotong Airport,Yunnan,27.32779055,103.75588716790277
173,Zaragoza Airport,Aragon,41.6685642,-1.0465829587646203
174,Zábřeh Airport,Czech Republic,11.1704017,-0.6222722
175,Bathurst Airport,New Brunswick,-33.40935415,149.6510993079293
176,Žabljak Airport,Montenegro,42.9868853,19.5180992
177,Biloela Airport,Queensland,-24.4946875,150.57686173589832
178,Roland-Désourdy Airport,Quebec,45.2894744,-72.74356101361118
179,Boulder Municipal Airport,Colorado,40.0374058,-105.23110430438086
180,Wilkes-Barre Wyoming Valley Airport,Pennsylvania,41.2970755,-75.85466736838417
181,Gamboa Airport,Chile,-22.9114687,-43.16413002852169
182,Chaitén Airfield,Chile,-31.7613365,-71.3187697
183,Chandalar Lake Airport,Alaska,67.5028851,-148.4909808
184,Wadi Ain Airport,Yemen,-17.9176704,31.09878714078309
